date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:50:48	53498/53498	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2001:50:46%20GMT	https://hubx.digital/cosmos/schema.org/	C:/Users/Usuario/Desktop/Bagulho/cosmo/hubx.digital/cosmos/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
22:50:49	53498/53498	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2001:50:47%20GMT	https://hubx.digital/signals/iwl.js	C:/Users/Usuario/Desktop/Bagulho/cosmo/hubx.digital/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
22:50:49	0/-1	---M--	301	error ('')			https://hubx.digital/cosmos/e	C:/Users/Usuario/Desktop/Bagulho/cosmo/hubx.digital/cosmos/e.25.delayed	(from https://cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/static/optimized/rev-0460670/hubx.digital/wp-content/plugins/cookie-notice/js/nitro-min-367aeb97cb81cf8a4ed3f374f5da756b.front.min.js)
22:50:51	53498/53498	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2001:50:48%20GMT	https://hubx.digital/cosmos/Trident/	C:/Users/Usuario/Desktop/Bagulho/cosmo/hubx.digital/cosmos/Trident/index.html	(from https://cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/static/optimized/rev-0460670/hubx.digital/wp-content/plugins/elementor/assets/lib/font-awesome/js/nitro-min-afc75d54b931939cbb13a5472ff39002.v4-shims.min.js)
22:50:51	53498/53498	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2001:50:49%20GMT	https://hubx.digital/cosmos/-negative.svg	C:/Users/Usuario/Desktop/Bagulho/cosmo/hubx.digital/cosmos/-negative.26.delayed	(from https://cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/static/optimized/rev-0460670/hubx.digital/wp-content/plugins/elementor/assets/js/nitro-min-afc75d54b931939cbb13a5472ff39002.frontend.min.js)
22:50:52	53498/53498	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2001:50:50%20GMT	https://hubx.digital/cosmos/OPR/	C:/Users/Usuario/Desktop/Bagulho/cosmo/hubx.digital/cosmos/OPR/index.html	(from https://cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/static/optimized/rev-0460670/hubx.digital/wp-content/plugins/elementor/assets/js/nitro-min-afc75d54b931939cbb13a5472ff39002.frontend.min.js)
22:50:52	18735/18735	---M--	200	added ('OK')	image/png	etag:%226518c0c4-49a4%22	https://cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/images/optimized/rev-0460670/hubx.digital/wp-content/uploads/2022/06/PRE-VENDA-1.png	C:/Users/Usuario/Desktop/Bagulho/cosmo/cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/images/optimized/rev-0460670/hubx.digital/wp-content/uploads/2022/06/PRE-VENDA-1.png	(from https://cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/static/optimized/rev-0460670/hubx.digital/combinedCss/nitro-min-noimport-2b484c7acc60042bc0dfbc938342fb0e-stylesheet.css)
22:50:52	1638/1638	---M--	200	added ('OK')	image/gif	etag:%226518c0c0-6f5%22	https://cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/images/optimized/rev-0460670/hubx.digital/wp-content/plugins/h5p/h5p-php-library/images/157612113ce533659b235a200c97c899.throbber.gif	C:/Users/Usuario/Desktop/Bagulho/cosmo/cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/images/optimized/rev-0460670/hubx.digital/wp-content/plugins/h5p/h5p-php-library/images/157612113ce533659b235a200c97c899.throbber.27.d	(from https://cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/static/optimized/rev-0460670/hubx.digital/combinedCss/nitro-min-noimport-126463e32dbfa7fe0734000519a05823-stylesheet.css)
22:50:53	222/222	---M--	200	added ('OK')	image/png	etag:%226518c0c6-16e%22	https://cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/images/optimized/rev-0460670/hubx.digital/wp-content/plugins/elementskit-lite/widgets/init/assets/img/arrow.png	C:/Users/Usuario/Desktop/Bagulho/cosmo/cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/images/optimized/rev-0460670/hubx.digital/wp-content/plugins/elementskit-lite/widgets/init/assets/img/arrow.png	(from https://cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/static/optimized/rev-0460670/hubx.digital/combinedCss/nitro-min-noimport-2b484c7acc60042bc0dfbc938342fb0e-stylesheet.css)
22:50:53	206/206	---M--	200	added ('OK')	image/png	etag:%226518c0c6-161%22	https://cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/images/optimized/rev-0460670/hubx.digital/wp-content/plugins/elementskit-lite/widgets/init/assets/img/sort_asc.png	C:/Users/Usuario/Desktop/Bagulho/cosmo/cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/images/optimized/rev-0460670/hubx.digital/wp-content/plugins/elementskit-lite/widgets/init/assets/img/sort_asc.png	(from https://cdn-ienfc.nitrocdn.com/lnblwrGSgmazhfqNIrzWhndXPUljvtPN/assets/static/optimized/rev-0460670/hubx.digital/combinedCss/nitro-min-noimport-2b484c7acc60042bc0dfbc938342fb0e-stylesheet.css)
